State,Avg_tempF,Avg_Rain_In,Avg_Snow_In,Sunny_Days,Morn_Humid,Aftnoon_Humid ,Avg_Humid,ABR,Wtemp,Stemp,SpTemp,FallTemp
Alabama,62.8,58.3,1.6,99,58,52,55,AL,46.5,78.6,62.5,63.7
Alaska,26.6,22.5,74.5,61,41,64,52.5,AK,2.6,52.3,24.7,26.7
Arizona,60.3,13.6,0.3,193,85,25,55,AZ,43.6,78.1,58.2,61.3
Arkansas,60.4,50.6,5.2,123,61,49,55,AR,41.5,78.8,60.3,61.4
California,59.4,22.2,0,146,68,62,65,CA,46.2,73.4,57.1,60.9
Colorado,45.1,15.9,19.1,136,71,35,53,CO,25.8,65.2,43.7,45.9
Connecticut,49,50.3,40.5,82,56,52,54,CT,28.5,69.2,47.3,51.2
Delaware,55.3,45.7,20.2,97,79,54,66.5,DE,36.1,74.2,53.3,57.4
Florida,70.7,54.5,0,101,66,57,61.5,FL,59.4,81,69.9,72.7
Georgia,63.5,50.7,0.7,112,66,50,58,GA,47.8,78.7,63.1,64.6
Hawaii,70,63.7,0,90,71,56,63.5,HI,67.4,72.2,68.6,71.8
Idaho,44.4,18.9,19.2,120,64,41,52.5,ID,25.4,63.7,43.6,44.8
Illinois,51.8,39.2,24.6,95,56,58,57,IL,28.3,73.4,51.6,53.8
Indiana,51.7,41.7,25.9,88,55,58,56.5,IN,29.4,72.4,51.1,53.8
Iowa,47.8,34,34.9,105,59,56,57.5,IA,21.7,71.6,48.2,49.8
Kansas,54.3,28.9,14.7,128,65,50,57.5,KS,31.9,76.4,53.6,55.4
Kentucky,55.6,48.9,12.5,93,56,55,55.5,KY,35.9,74.5,55.1,57
Louisiana,66.4,60.1,0,101,57,61,59,LA,50.9,81.1,66.3,67.4
Maine,41,42.2,61.8,101,57,61,59,ME,16.8,63.7,39.1,44.2
Maryland,54.2,44.5,20.2,105,57,52,54.5,MD,34.7,73.3,52.8,56.1
Massachusetts,47.9,47.7,43.8,98,58,59,58.5,MA,27.4,68,45.7,50.3
Michigan,44.4,32.8,51.1,71,51,61,56,MI,21.7,66.2,42.6,47.3
Minnesota,41.2,27.3,54,95,58,55,56.5,MN,12.4,66.8,41.9,43.5
Mississippi,63.4,59,0.9,111,61,54,57.5,MS,46.7,79.5,63.2,64.2
Missouri,54.5,42.2,17,115,60,53,56.5,MO,32.3,75.4,54.4,56
Montana,42.7,15.3,38.1,82,59,45,52,MT,21.2,64.2,42.5,43
Nebraska,48.8,23.6,25.9,117,61,53,57,NE,25.7,71.8,48.2,49.5
Nevada,49.9,9.5,21.8,158,79,32,55.5,NV,32.2,69,48,50.2
New Hampshire,43.8,43.4,60.8,90,54,53,53.5,NH,21.1,65.5,42.4,46.3
New Jersey,52.7,47.1,16.5,94,56,59,57.5,NJ,33,72.2,50.6,54.8
New Mexico,53.4,14.6,9.6,167,76,29,52.5,NM,36.1,71.4,52.4,53.8
New York,45.4,41.8,"123.8	",63,46,61,53.5,NY,23.3,66.5,43.6,48.1
N. Carolina,59,50.3,7.6,109,60,52,56,NC,42.1,75.7,58.2,60.2
N. Dakota,40.4,17.8,51.2,93,59,51,55,ND,12.2,66.6,41.1,42
Ohio,50.7,39.1,27.5,72,50,57,53.5,OH,29.5,70.9,49.7,52.9
Oklahoma,59.6,36.5,7.8,139,68,48,58,OK,39.1,79.6,59.1,60.6
Oregon,48.4,27.4,3,68,48,59,53.5,OR,34,63.7,46.9,48.9
Pennsylvania,48.8,42.9,28.2,87,58,54,56,PA,28.4,68.6,47.4,50.9
Rhode Island,50.1,47.9,33.8,98,58,57,57.5,RI,31.4,68.8,47,53.1
S. Carolina,62.4,49.8,0.5,115,64,49,56.5,SC,46.1,78.4,62,63.4
S. Dakota,45.2,20.1,43.9,104,63,53,58,SD,19.5,69.9,44.8,46.4
Tennessee,57.6,54.2,6.3,102,56,53,54.5,TN,39.1,75.6,57.3,58.6
Texas,64.8,28.9,1.5,135,61,49,55,TX,47.9,81.1,65.1,65.5
Utah,48.6,12.2,56.2,125,66,43,54.5,UT,28.2,69.6,47.5,49.1
Vermont,42.9,42.7,81.2,58,49,58,53.5,VT,19.4,65.1,41.5,45.7
Virginia,55.1,44.3,10.3,100,63,52,57.5,VA,36.8,73.2,54.1,56.5
Washington,48.3,38.4,5,58,47,62,54.5,WA,33,63.8,47.7,48.5
West Virginia,51.8,45.2,62,60,83,59,71,WV,32.8,70.2,50.9,53.3
Wisconsin,43.1,32.6,50.9,89,54,58,56,WI,17.2,66.8,42.9,45.7
Wyoming,42,12.9,91.4,114,68,43,55.5,WY,21.2,63.5,40.8,42.5
